1686	1351	\N
825	\N	\N
814	804	\N
821	812	\N
835	824	\N
1773	1396	\N
815	\N	\N
829	820	\N
1802	1416	\N
830	\N	\N
849	836	\N
820	807	\N
833	821	\N
831	822	\N
836	\N	49
1826	1439	\N
832	\N	\N
841	827	\N
809	802	\N
2369	\N	\N
842	829	\N
838	\N	39
822	814	\N
859	838	\N
845	833	\N
844	832	\N
846	1177	\N
843	831	\N
851	\N	\N
852	\N	\N
860	\N	\N
855	\N	\N
861	\N	\N
850	\N	\N
848	835	\N
847	834	\N
857	\N	\N
858	837	\N
979	904	\N
1573	1278	\N
823	813	\N
826	\N	\N
864	841	\N
882	849	\N
1650	1329	\N
880	\N	\N
1715	1369	\N
897	855	\N
1612	\N	\N
898	\N	\N
1803	1415	\N
874	850	\N
1845	1449	\N
896	854	\N
881	\N	\N
876	\N	\N
1687	\N	\N
883	\N	108
888	1290	\N
889	853	\N
2575	1851	\N
884	\N	\N
899	\N	\N
1774	\N	\N
905	\N	\N
914	866	\N
910	863	\N
873	845	\N
916	868	\N
915	\N	\N
1574	1279	\N
908	860	\N
918	869	\N
911	864	\N
919	\N	\N
862	839	\N
875	846	\N
887	852	\N
901	\N	110
907	859	\N
909	862	\N
879	\N	\N
892	\N	\N
893	\N	\N
903	\N	\N
900	\N	109
891	\N	\N
912	\N	\N
1613	1307	\N
931	877	\N
1688	1422	\N
966	\N	\N
938	\N	\N
3334	2243	\N
934	879	\N
937	881	\N
1740	1379	\N
939	\N	\N
959	896	\N
941	\N	\N
947	\N	\N
2762	1939	\N
948	887	\N
943	883	\N
690	\N	\N
953	891	\N
944	884	\N
1775	\N	\N
957	894	\N
951	\N	114
952	889	\N
965	898	\N
958	\N	\N
956	1354	\N
961	897	\N
970	901	\N
964	\N	113
960	\N	\N
969	\N	\N
967	899	\N
978	\N	\N
974	\N	115
976	902	\N
972	965	\N
1575	1280	\N
926	874	\N
929	875	\N
946	885	\N
950	888	\N
933	\N	\N
945	\N	\N
962	\N	\N
